Player,Team,Positions,PTS,REB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO,Rank,Avg Rank
James Harden,HOU,"PG,SG",2143,423,481,55,118,0.443,0.866,284,67,2392,300,1,2.5
Luka Doncic,DAL,PG,1998,632,588,20,76,0.472,0.757,201,67,2363,278,3,3.5
Giannis Antetokounmpo,MIL,"SF,PF",1965,880,381,78,72,0.551,0.672,90,68,2179,249,5,4.6
Damian Lillard,POR,PG,1890,283,491,22,69,0.455,0.897,255,67,2440,188,7,7.5
Devin Booker,PHO,"PG,SG",1870,284,448,18,56,0.477,0.9,164,68,2435,256,13,14.2
Stephen Curry,GSW,"PG,SG",1794,336,381,23,88,0.464,0.92,305,65,2216,210,8,7.7
Bradley Beal,WAS,SG,1753,269,322,30,78,0.468,0.835,168,65,2317,200,17,17.5
Trae Young,ATL,PG,1746,260,597,9,64,0.441,0.864,204,67,2277,276,9,10.1
Karl-Anthony Towns,MIN,C,1735,762,250,101,67,0.51,0.815,198,68,2305,224,4,4.3
Donovan Mitchell,UTH,"PG,SG",1722,300,299,16,79,0.448,0.841,182,69,2380,191,37,23.6
Anthony Davis,LAL,"PF,C",1720,642,212,147,96,0.516,0.833,71,65,2223,149,2,2.8
Russell Westbrook,WAS,PG,1705,551,582,23,101,0.471,0.73,56,66,2327,279,23,25.6
Jayson Tatum,BOS,"SF,PF",1689,485,235,61,91,0.448,0.817,197,68,2388,164,10,10.6
Kevin Durant,BKN,"SF,PF",1669,400,313,57,45,0.511,0.878,130,65,2150,199,15,15.5
Zach LaVine,CHI,"SG,SF",1605,299,275,30,90,0.454,0.813,187,66,2284,211,29,32.5
LeBron James,LAL,"PG,SG,SF,PF",1604,501,593,35,77,0.503,0.692,129,64,2166,229,11,12.2
Kawhi Leonard,LAC,"SG,SF",1598,437,260,32,104,0.472,0.871,129,61,2025,148,12,12.4
Zion Williamson,NOR,PF,1575,473,141,40,56,0.591,0.656,23,61,1896,165,50,38.1
Pascal Siakam,TOR,PF,1562,516,233,59,71,0.468,0.79,133,67,2440,163,28,29.5
Brandon Ingram,NOR,"SF,PF",1561,378,260,45,59,0.478,0.801,150,66,2227,194,31,35.8
Paul George,LAC,"SF,PF",1550,428,245,27,108,0.435,0.856,235,65,2215,172,24,25.8
Joel Embiid,PHI,"PF,C",1529,748,207,101,51,0.483,0.808,71,62,1979,205,14,14.6
Kyrie Irving,BKN,"PG,SG",1528,284,396,25,79,0.495,0.898,159,63,2069,159,25,26.5
DeMar DeRozan,SAS,"SG,SF",1502,370,380,22,72,0.509,0.842,12,69,2361,166,44,52.8
Nikola Jokic,DEN,"PF,C",1486,724,513,48,87,0.52,0.825,86,69,2276,220,6,5.5
Shai Gilgeous-Alexander,OKC,"SG,SF,PG",1460,389,341,49,86,0.469,0.807,109,67,2357,155,22,24.7
Jamal Murray,DEN,"PG,SG",1453,284,352,20,74,0.459,0.877,161,67,2294,165,47,35.4
D'Angelo Russell,MIN,"PG,SG",1434,249,426,20,82,0.437,0.815,217,66,2094,207,55,43
CJ McCollum,POR,"PG,SG",1426,268,252,35,51,0.458,0.787,176,67,2351,117,59,56.3
Khris Middleton,MIL,"SG,SF",1423,411,279,6,67,0.473,0.886,172,67,2125,152,35,40
De'Aaron Fox,SAC,PG,1403,259,488,32,101,0.485,0.727,69,66,2220,206,48,36.1
Ja Morant,MEM,PG,1394,274,531,21,68,0.479,0.784,79,67,2231,241,40,31.3
Tobias Harris,PHI,"SF,PF",1390,480,216,36,48,0.485,0.825,137,69,2401,106,43,52.1
Collin Sexton,CLE,"PG,SG",1366,219,222,7,61,0.461,0.848,109,68,2321,174,78,80.8
Jaylen Brown,BOS,"SG,SF",1330,415,136,27,74,0.478,0.727,146,66,2266,151,56,47.9
TJ Warren,IND,"SF,PF ",1330,293,111,35,79,0.501,0.813,105,67,2259,83,52,59.4
Jimmy Butler,MIA,"SG,SF",1316,399,355,39,115,0.466,0.846,61,66,2263,135,19,19.5
Nikola Vucevic,ORL,"PF,C",1309,708,245,60,61,0.493,0.789,101,67,2108,109,26,27.5
Gordon Hayward,CHA,"SG,SF",1277,375,285,23,48,0.473,0.849,117,62,2128,137,58,55.3
Jrue Holiday,MIL,"PG,SG",1277,305,412,50,98,0.472,0.744,130,66,2244,188,33,38.2
Bojan Bogdanovic,UTH,"SF,PF",1253,274,133,4,41,0.466,0.872,179,66,2147,142,106,106.4
Kristaps Porzingis,DAL,"PF,C ",1244,539,104,118,43,0.439,0.794,144,57,1856,97,46,53.8
Deandre Ayton,PHO,C,1237,730,129,85,50,0.575,0.759,7,67,2152,129,18,18.3
Andrew Wiggins,GSW,"SG,SF",1211,292,201,50,55,0.447,0.719,117,68,2285,140,80,81.7
Kelly Oubre Jr.,GSW,"SF,PF",1194,371,95,50,80,0.45,0.777,139,66,2145,96,64,62.3
Julius Randle,NYK,"PF,C",1190,575,184,24,47,0.471,0.729,63,66,2049,183,72,72.8
Lou Williams,LAC,"PG,SG",1173,188,340,11,47,0.418,0.867,110,68,1836,165,115,120.1
John Collins,ATL,"PF,C",1170,557,101,71,39,0.567,0.783,72,65,1983,113,20,21.2
RJ Barrett,NYK,"SG,SF",1163,361,203,22,69,0.42,0.657,94,67,2250,181,118,122.7
Coby White,CHI,PG,1159,286,231,7,63,0.405,0.803,181,69,2155,137,82,83.2
LaMarcus Aldridge,SAS,"PF,C",1147,461,139,87,39,0.502,0.836,47,63,1982,92,41,50.9
Christian Wood,HOU,"PF,C",1146,554,82,75,45,0.543,0.744,86,66,1876,118,36,41
Buddy Hield,SAC,SG,1137,274,168,16,54,0.452,0.858,202,69,1879,126,67,63.7
Mike Conley,UTH,PG,1136,217,351,10,66,0.434,0.828,145,62,2002,124,95,95.6
Evan Fournier,ORL,"SG,SF",1132,182,219,13,70,0.449,0.817,162,67,2107,126,105,106.3
Domantas Sabonis,IND,"PF,C",1127,753,286,31,46,0.544,0.724,21,64,2173,168,34,38.4
Fred VanVleet,TOR,"PG,SG",1126,232,412,21,108,0.41,0.841,173,67,2242,138,51,38.8
Victor Oladipo,IND,"PG,SG",1121,298,267,20,90,0.423,0.786,125,63,1963,159,84,86.3
Bam Adebayo,MIA,"PF,C",1107,669,312,85,74,0.57,0.723,1,67,2202,175,16,16.6
Blake Griffin,DET,"PF,C",1101,388,252,22,35,0.452,0.761,104,56,1865,158,104,90.2
Dillon Brooks,MEM,"SG,SF",1096,231,139,26,61,0.411,0.797,137,69,1970,119,152,153.8
Andre Drummond,CLE,"PF,C",1095,899,133,97,99,0.541,0.579,10,69,2104,206,30,34.5
Kyle Lowry,TOR,PG,1092,310,470,27,88,0.416,0.849,167,65,2227,180,39,44.9
John Wall,HOU,PG,1089,216,453,43,81,0.433,0.723,107,60,1928,225,69,65.3
Kemba Walker,BOS,PG ,1088,207,246,22,51,0.43,0.859,157,54,1712,117,57,66.2
Montrezl Harrell,LAL,"PF,C",1088,422,109,80,46,0.609,0.653,0,67,1756,100,101,101.6
Derrick Rose,DET,"PG,SG",1084,153,308,18,47,0.488,0.862,57,63,1656,136,126,130.5
Ben Simmons,PHI,PG,1078,512,525,46,116,0.573,0.616,0,65,2257,219,21,23.2
Tim Hardaway Jr.,DAL,"SG,SF",1078,224,141,6,44,0.43,0.821,180,67,2004,82,141,146.5
Dennis Schroder,LAL,PG,1076,220,297,14,46,0.455,0.828,105,68,1962,144,100,101.5
Chris Paul,PHO,PG,1064,305,470,13,101,0.472,0.881,113,64,1989,148,32,37.5
Caris LeVert,BKN,"SG,SF",1053,248,259,16,71,0.437,0.71,98,63,1877,144,99,101.1
Malcolm Brogdon,IND,"PG,SG",1051,307,415,12,45,0.446,0.899,96,64,2074,143,63,62.3
Tyler Herro,MIA,"SG,SF",1046,300,182,12,46,0.437,0.869,168,66,2024,115,87,88.1
Josh Richardson,DAL,"SG,SF",1046,230,215,43,68,0.432,0.83,141,67,2215,120,109,111.8
Jusuf Nurkic,POR,C,1039,666,217,101,69,0.506,0.771,11,63,1942,150,42,32.2
Michael Porter Jr.,DEN,"SF,PF",1039,459,89,38,51,0.49,0.813,136,65,1717,100,62,61.7
Danilo Gallinari,ATL,"SF,PF",1035,307,119,11,39,0.442,0.899,156,62,1759,81,88,88.1
Lauri Markkanen,CHI,PF,1024,435,91,32,50,0.433,0.844,145,60,1946,100,73,74.6
Aaron Gordon,ORL,"SF,PF",1021,484,239,41,53,0.44,0.702,97,66,2174,114,74,76.9
Jonas Valanciunas,MEM,C,1017,729,122,75,27,0.57,0.756,30,67,1772,125,45,53.7
Jaren Jackson Jr.,MEM,"PF,C",1015,290,80,94,44,0.481,0.742,134,57,1666,106,54,61.1
Devonte' Graham,CHA,"PG,SG",1009,193,411,12,62,0.383,0.818,192,68,2049,162,81,83.2
Anthony Edwards,MIN,SG,1005,262,169,25,87,0.42,0.778,109,66,1989,136,133,126.3
Rudy Gobert,UTH,C,1002,877,108,133,49,0.683,0.631,0,67,2238,117,27,29.2
Eric Gordon,HOU,"SG,SF",1001,143,110,25,42,0.405,0.788,192,63,2016,90,177,175.6
Spencer Dinwiddie,BKN,"PG,SG",1000,162,319,18,33,0.44,0.786,100,66,1693,136,131,134.4
Eric Bledsoe,NOR,"PG,SG",992,299,345,25,78,0.48,0.787,81,65,1847,157,86,87.3
Rui Hachimura,WAS,"SF,PF",988,447,128,11,62,0.484,0.83,41,67,2193,81,117,122.2
Malik Beasley,MIN,"PG,SG",987,204,108,13,67,0.452,0.824,194,66,1879,82,123,127.3
Terrence Ross,ORL,"SG,SF",984,214,90,21,70,0.415,0.853,175,67,1831,69,149,153.2
Kevin Love,CLE,"PF,C",982,538,162,18,31,0.445,0.865,144,60,1794,135,75,77.5
Harrison Barnes,SAC,"SF,PF",974,309,132,12,40,0.454,0.811,95,69,2226,78,151,153.7
Jordan Clarkson,UTH,"PG,SG",966,175,147,16,41,0.462,0.851,124,68,1560,91,146,151.5
Darius Garland,CLE,PG,966,132,279,7,52,0.412,0.884,140,68,2163,181,144,148.1
LaMelo Ball,CHA,"PG,SG",948,298,406,19,76,0.409,0.73,121,66,1909,183,124,115.1
Obi Toppin,NYK,"SF,PF",942,442,96,64,47,0.5,0.71,65,68,1989,118,150,142.1
PJ Washington,CHA,"SF,PF",939,392,156,57,64,0.463,0.674,114,68,2187,122,110,112.3
Marvin Bagley III,SAC,"PF,C",933,470,57,56,34,0.496,0.747,26,61,1674,96,102,102
Serge Ibaka,LAC,"PF,C",933,508,81,61,26,0.509,0.735,70,65,1762,109,107,108.6
Jerami Grant,DET,"SF,PF",933,352,86,71,53,0.479,0.739,105,69,2163,66,103,105.3
JJ Redick,NOR,SG,931,151,129,11,21,0.456,0.897,177,65,1628,75,173,173.7
Joe Harris,BKN,"SG,SF",914,263,135,15,37,0.497,0.77,158,67,2054,100,129,132.3
Goran Dragic,MIA,"PG,SG",904,185,285,10,40,0.439,0.772,115,57,1637,132,112,114.4
Bogdan Bogdanovic,ATL,"SG,SF,PF",902,211,215,14,62,0.437,0.784,150,65,1833,108,96,97
Markelle Fultz,ORL,"PG,SG",895,244,375,14,90,0.46,0.737,48,67,2072,146,94,95.2
Davis Bertans,WAS,"PF,C",880,272,109,37,42,0.429,0.846,208,65,1828,68,98,99.1
Brandon Clarke,MEM,"PF,C",878,430,101,65,42,0.613,0.775,35,67,1597,72,61,77.2
Duncan Robinson,MIA,"SG,SF",872,209,100,17,38,0.469,0.895,241,68,1970,58,113,116.8
Terry Rozier,CHA,"PG,SG",852,226,193,11,54,0.415,0.858,134,69,1706,108,116,121.8
Seth Curry,PHI,"PG,SG",850,156,131,11,48,0.489,0.831,155,67,1801,80,121,124.8
Steven Adams,NOR,C,840,667,152,74,69,0.61,0.557,0,69,2045,119,77,80.5
Myles Turner,IND,"PF,C",836,455,85,149,50,0.466,0.741,87,66,1990,87,66,62.8
Thomas Bryant,WAS,C,834,469,115,70,28,0.59,0.753,41,63,1698,79,76,79.5
Robert Covington,POR,"PF,C,SF",833,425,82,81,97,0.437,0.804,160,67,2102,97,70,67.2
Clint Capela,ATL,"PF,C",831,657,79,101,42,0.624,0.565,0,64,1894,90,49,55.5
Miles Bridges,CHA,"SF,PF",825,365,113,53,46,0.443,0.788,94,70,2003,90,122,127.1
Kevin Porter Jr.,CLE,SG,821,249,173,21,67,0.449,0.742,94,65,1761,148,139,144.2
Norman Powell,TOR,"SG,SF",818,195,103,19,61,0.492,0.838,112,62,1556,84,111,113.9
Brook Lopez,MIL,C,805,305,96,146,42,0.444,0.83,120,68,1868,68,92,93.8
Kendrick Nunn,MIA,"PG,SG",803,143,174,11,43,0.444,0.858,107,65,1543,86,182,180.2
Al Horford,OKC,"PF,C",802,441,248,63,49,0.479,0.791,83,65,1874,86,93,94
Derrick White,SAS,"PG,SG",801,237,261,60,59,0.474,0.836,71,67,1835,101,91,90.4
Otto Porter Jr.,CHI,"SF,PF",798,277,119,30,82,0.461,0.787,112,58,1728,62,108,109.5
Cedi Osman,CLE,"SF,PF",792,270,169,13,54,0.439,0.723,123,67,2098,101,189,190.2
Marcus Smart,BOS,"PG,SG",786,242,296,30,105,0.385,0.829,139,66,2096,120,79,81.1
Lonzo Ball,NOR,PG,781,418,462,38,97,0.411,0.544,146,66,2169,190,60,59.7
Kyle Kuzma,LAL,"SF,PF",777,259,92,22,25,0.447,0.744,80,66,1537,81,154,155.2
Reggie Jackson,LAC,"PG,SG",775,148,226,7,32,0.424,0.854,113,62,1467,92,228,225.3
Dejounte Murray,SAS,"PG,SG",764,404,281,20,117,0.469,0.796,40,67,1802,135,68,64.4
Will Barton,DEN,"SG,SF",763,302,186,30,47,0.435,0.774,98,66,1719,87,114,117.4
De'Andre Hunter,ATL,SF,761,275,106,19,42,0.432,0.77,105,68,1942,97,148,152.8
Ricky Rubio,MIN,PG,759,243,428,13,89,0.407,0.857,72,65,1874,159,85,86.6
Alec Burks,NYK,"PG,SG,SF",758,262,144,20,48,0.408,0.868,80,65,1606,81,244,213.3
Jae Crowder,PHO,"SF,PF",754,343,134,23,60,0.397,0.752,141,68,1962,67,157,159.4
Deni Avdija,WAS,"SG,SF",753,239,124,30,47,0.459,0.772,84,67,1609,86,242,219
Wendell Carter Jr.,CHI,C,752,571,90,70,51,0.524,0.751,13,65,1952,106,83,86.3
Gary Harris,DEN,"SG,SF",747,186,142,19,82,0.428,0.814,90,65,2003,81,174,174.2
Eric Paschall,GSW,"SF,PF",746,228,108,12,26,0.544,0.783,38,67,1478,77,190,191.6
